NAME,Total 2020 16+ civilian employed,"2020 16+ civilian employed in: Agriculture, forestry, fishing, and hunting)",state,county
"Alameda County, California",623334.0,1488.0,California,Alameda County
"Alpine County, California",267.0,22.0,California,Alpine County
"Amador County, California",9717.0,499.0,California,Amador County
"Butte County, California",56564.0,2088.0,California,Butte County
"Calaveras County, California",11402.0,321.0,California,Calaveras County
"Colusa County, California",6521.0,1457.0,California,Colusa County
"Contra Costa County, California",382501.0,1735.0,California,Contra Costa County
"Del Norte County, California",6026.0,366.0,California,Del Norte County
"El Dorado County, California",55906.0,735.0,California,El Dorado County
"Fresno County, California",269268.0,19122.0,California,Fresno County
"Glenn County, California",7608.0,1826.0,California,Glenn County
"Humboldt County, California",35624.0,1757.0,California,Humboldt County
"Imperial County, California",37722.0,3059.0,California,Imperial County
"Inyo County, California",5194.0,253.0,California,Inyo County
"Kern County, California",223995.0,23578.0,California,Kern County
"Kings County, California",37801.0,5985.0,California,Kings County
"Lake County, California",14194.0,825.0,California,Lake County
"Lassen County, California",5811.0,326.0,California,Lassen County
"Los Angeles County, California",3412265.0,11966.0,California,Los Angeles County
"Madera County, California",38609.0,5345.0,California,Madera County
"Marin County, California",82700.0,553.0,California,Marin County
"Mariposa County, California",4279.0,156.0,California,Mariposa County
"Mendocino County, California",22051.0,1423.0,California,Mendocino County
"Merced County, California",70760.0,7927.0,California,Merced County
"Modoc County, California",2185.0,495.0,California,Modoc County
"Mono County, California",5393.0,110.0,California,Mono County
"Monterey County, California",122720.0,14916.0,California,Monterey County
"Napa County, California",46462.0,2357.0,California,Napa County
"Nevada County, California",27250.0,429.0,California,Nevada County
"Orange County, California",1098973.0,5483.0,California,Orange County
"Placer County, California",124877.0,706.0,California,Placer County
"Plumas County, California",4542.0,229.0,California,Plumas County
"Riverside County, California",722092.0,7401.0,California,Riverside County
"Sacramento County, California",498245.0,3405.0,California,Sacramento County
"San Benito County, California",19603.0,1273.0,California,San Benito County
"San Bernardino County, California",645170.0,3807.0,California,San Bernardino County
"San Diego County, California",1091307.0,8018.0,California,San Diego County
"San Francisco County, California",378281.0,491.0,California,San Francisco County
"San Joaquin County, California",221975.0,9848.0,California,San Joaquin County
"San Luis Obispo County, California",82647.0,2170.0,California,San Luis Obispo County
"San Mateo County, California",298072.0,1367.0,California,San Mateo County
"Santa Barbara County, California",136579.0,13072.0,California,Santa Barbara County
"Santa Clara County, California",729483.0,3298.0,California,Santa Clara County
"Santa Cruz County, California",82619.0,3760.0,California,Santa Cruz County
"Shasta County, California",46420.0,1056.0,California,Shasta County
"Sierra County, California",809.0,81.0,California,Sierra County
"Siskiyou County, California",9911.0,972.0,California,Siskiyou County
"Solano County, California",143726.0,1656.0,California,Solano County
"Sonoma County, California",159842.0,4305.0,California,Sonoma County
"Stanislaus County, California",155636.0,8148.0,California,Stanislaus County
"Sutter County, California",26790.0,2143.0,California,Sutter County
"Tehama County, California",16701.0,1037.0,California,Tehama County
"Trinity County, California",2329.0,239.0,California,Trinity County
"Tulare County, California",120803.0,16909.0,California,Tulare County
"Tuolumne County, California",13300.0,378.0,California,Tuolumne County
"Ventura County, California",276031.0,11170.0,California,Ventura County
"Yolo County, California",64380.0,2735.0,California,Yolo County
"Yuba County, California",20467.0,888.0,California,Yuba County
"Alachua County, Florida",82959.0,667.0,Florida,Alachua County
"Baker County, Florida",8745.0,11.0,Florida,Baker County
"Bay County, Florida",56899.0,430.0,Florida,Bay County
"Bradford County, Florida",7308.0,72.0,Florida,Bradford County
"Brevard County, Florida",182139.0,688.0,Florida,Brevard County
"Broward County, Florida",698459.0,1195.0,Florida,Broward County
"Calhoun County, Florida",3358.0,188.0,Florida,Calhoun County
"Charlotte County, Florida",42396.0,143.0,Florida,Charlotte County
"Citrus County, Florida",32189.0,340.0,Florida,Citrus County
"Clay County, Florida",71049.0,406.0,Florida,Clay County
