NAME,Mean usual hours (Men+Women),state,county
"Alameda County, California",38.3,California,Alameda County
"Alpine County, California",37.2,California,Alpine County
"Amador County, California",38.9,California,Amador County
"Butte County, California",36.3,California,Butte County
"Calaveras County, California",38.0,California,Calaveras County
"Colusa County, California",43.2,California,Colusa County
"Contra Costa County, California",38.1,California,Contra Costa County
"Del Norte County, California",37.4,California,Del Norte County
"El Dorado County, California",37.4,California,El Dorado County
"Fresno County, California",38.2,California,Fresno County
"Glenn County, California",39.8,California,Glenn County
"Humboldt County, California",35.8,California,Humboldt County
"Imperial County, California",37.5,California,Imperial County
"Inyo County, California",37.7,California,Inyo County
"Kern County, California",38.7,California,Kern County
"Kings County, California",40.0,California,Kings County
"Lake County, California",37.5,California,Lake County
"Lassen County, California",38.6,California,Lassen County
"Los Angeles County, California",38.0,California,Los Angeles County
"Madera County, California",38.2,California,Madera County
"Marin County, California",38.5,California,Marin County
"Mariposa County, California",37.8,California,Mariposa County
"Mendocino County, California",37.3,California,Mendocino County
"Merced County, California",38.7,California,Merced County
"Modoc County, California",39.6,California,Modoc County
"Mono County, California",38.6,California,Mono County
"Monterey County, California",39.0,California,Monterey County
"Napa County, California",37.5,California,Napa County
"Nevada County, California",36.5,California,Nevada County
"Orange County, California",38.1,California,Orange County
"Placer County, California",37.9,California,Placer County
"Plumas County, California",37.4,California,Plumas County
"Riverside County, California",37.8,California,Riverside County
"Sacramento County, California",37.6,California,Sacramento County
"San Benito County, California",38.0,California,San Benito County
"San Bernardino County, California",38.0,California,San Bernardino County
"San Diego County, California",38.6,California,San Diego County
"San Francisco County, California",40.4,California,San Francisco County
"San Joaquin County, California",38.4,California,San Joaquin County
"San Luis Obispo County, California",36.2,California,San Luis Obispo County
"San Mateo County, California",39.1,California,San Mateo County
"Santa Barbara County, California",37.2,California,Santa Barbara County
"Santa Clara County, California",38.6,California,Santa Clara County
"Santa Cruz County, California",36.3,California,Santa Cruz County
"Shasta County, California",37.4,California,Shasta County
"Sierra County, California",38.5,California,Sierra County
"Siskiyou County, California",37.4,California,Siskiyou County
"Solano County, California",38.2,California,Solano County
"Sonoma County, California",37.4,California,Sonoma County
"Stanislaus County, California",38.0,California,Stanislaus County
"Sutter County, California",39.0,California,Sutter County
"Tehama County, California",38.8,California,Tehama County
"Trinity County, California",36.3,California,Trinity County
"Tulare County, California",38.7,California,Tulare County
"Tuolumne County, California",36.8,California,Tuolumne County
"Ventura County, California",37.9,California,Ventura County
"Yolo County, California",35.8,California,Yolo County
"Yuba County, California",39.0,California,Yuba County
"Alachua County, Florida",36.4,Florida,Alachua County
"Baker County, Florida",40.0,Florida,Baker County
"Bay County, Florida",39.4,Florida,Bay County
"Bradford County, Florida",38.9,Florida,Bradford County
"Brevard County, Florida",38.1,Florida,Brevard County
"Broward County, Florida",38.9,Florida,Broward County
"Calhoun County, Florida",41.1,Florida,Calhoun County
"Charlotte County, Florida",38.5,Florida,Charlotte County
"Citrus County, Florida",38.6,Florida,Citrus County
"Clay County, Florida",39.5,Florida,Clay County
"Collier County, Florida",38.9,Florida,Collier County
"Columbia County, Florida",40.3,Florida,Columbia County
"DeSoto County, Florida",40.6,Florida,DeSoto County
"Dixie County, Florida",37.4,Florida,Dixie County
"Duval County, Florida",39.6,Florida,Duval County
"Escambia County, Florida",38.5,Florida,Escambia County
"Flagler County, Florida",38.0,Florida,Flagler County
"Franklin County, Florida",38.5,Florida,Franklin County
"Gadsden County, Florida",39.1,Florida,Gadsden County
"Gilchrist County, Florida",39.6,Florida,Gilchrist County
"Glades County, Florida",39.9,Florida,Glades County
