NAME,deaths,Mean usual hours (Men+Women),Total 2020 16+ civilian employed,"2020 16+ civilian employed in: Agriculture, forestry, fishing, and hunting)"
"Adams County, Indiana",1975.0,38.2,10869.0,354.0
"Adams County, Pennsylvania",6270.0,38.0,35258.0,1062.0
"Alachua County, Florida",11382.0,36.4,82959.0,667.0
"Alameda County, California",75187.0,38.3,623334.0,1488.0
"Albany County, New York",34946.0,37.0,107984.0,153.0
"Allegany County, New York",3452.0,36.6,12168.0,363.0
"Allegheny County, Pennsylvania",86524.0,38.7,452249.0,531.0
"Allen County, Indiana",50646.0,38.7,129846.0,536.0
"Alpine County, California",0.0,37.2,267.0,22.0
"Amador County, California",2343.0,38.9,9717.0,499.0
"Anderson County, Texas",5550.0,41.0,14467.0,320.0
"Andrews County, Texas",1801.0,42.5,6934.0,59.0
"Angelina County, Texas",13834.0,40.9,27481.0,632.0
"Aransas County, Texas",2809.0,36.9,5865.0,4.0
"Archer County, Texas",221.0,40.1,3260.0,190.0
"Armstrong County, Pennsylvania",4460.0,39.7,20943.0,203.0
"Armstrong County, Texas",204.0,41.4,728.0,80.0
"Atascosa County, Texas",5546.0,39.7,14883.0,242.0
"Austin County, Texas",1407.0,41.0,10496.0,132.0
"Bailey County, Texas",947.0,39.0,1760.0,489.0
"Baker County, Florida",3239.0,40.0,8745.0,11.0
"Bandera County, Texas",1210.0,37.2,6396.0,366.0
"Bartholomew County, Indiana",13733.0,38.9,28349.0,159.0
"Bastrop County, Texas",5316.0,40.3,28745.0,194.0
"Bay County, Florida",19147.0,39.4,56899.0,430.0
"Baylor County, Texas",362.0,41.5,1144.0,180.0
"Beaver County, Pennsylvania",28917.0,38.8,55744.0,169.0
"Bedford County, Pennsylvania",3282.0,38.8,15384.0,493.0
"Bee County, Texas",5000.0,39.7,7320.0,99.0
"Bell County, Texas",15298.0,40.5,102860.0,355.0
"Benton County, Indiana",189.0,39.7,2859.0,346.0
"Berks County, Pennsylvania",94327.0,38.5,145107.0,2631.0
"Bexar County, Texas",212995.0,39.2,664439.0,1303.0
"Blackford County, Indiana",1305.0,40.4,3659.0,46.0
"Blair County, Pennsylvania",6651.0,38.3,39627.0,409.0
"Blanco County, Texas",932.0,40.8,4235.0,173.0
"Boone County, Indiana",12161.0,40.3,25863.0,311.0
"Borden County, Texas",0.0,38.7,158.0,38.0
"Bosque County, Texas",1465.0,40.2,5870.0,133.0
"Bowie County, Texas",14064.0,39.9,29285.0,317.0
"Bradford County, Florida",2063.0,38.9,7308.0,72.0
"Bradford County, Pennsylvania",3039.0,40.0,19622.0,742.0
"Brazoria County, Texas",27891.0,40.9,133142.0,553.0
"Brazos County, Texas",14928.0,36.8,71300.0,625.0
"Brevard County, Florida",53266.0,38.1,182139.0,688.0
"Brewster County, Texas",675.0,41.5,3265.0,104.0
"Briscoe County, Texas",196.0,40.6,426.0,92.0
"Brooks County, Texas",3116.0,37.1,1481.0,99.0
"Broome County, New York",22146.0,36.0,53482.0,128.0
"Broward County, Florida",254355.0,38.9,698459.0,1195.0
"Brown County, Indiana",672.0,38.7,4808.0,17.0
"Brown County, Texas",6417.0,39.8,12051.0,355.0
"Bucks County, Pennsylvania",147840.0,39.1,240722.0,637.0
"Burleson County, Texas",1173.0,41.9,5776.0,299.0
"Burnet County, Texas",2449.0,38.7,14943.0,123.0
"Butler County, Pennsylvania",8700.0,39.4,67185.0,458.0
"Butte County, California",7094.0,36.3,56564.0,2088.0
"Calaveras County, California",2172.0,38.0,11402.0,321.0
"Caldwell County, Texas",5690.0,40.2,14887.0,165.0
"Calhoun County, Florida",2698.0,41.1,3358.0,188.0
"Calhoun County, Texas",1544.0,41.9,8131.0,397.0
"Callahan County, Texas",1026.0,40.8,4366.0,177.0
"Cambria County, Pennsylvania",6692.0,37.8,39187.0,286.0
"Cameron County, Pennsylvania",30.0,37.5,1349.0,84.0
"Cameron County, Texas",150490.0,38.3,114373.0,1273.0
"Camp County, Texas",1958.0,40.5,3821.0,111.0
"Carbon County, Pennsylvania",8499.0,39.1,22088.0,214.0
"Carroll County, Indiana",2023.0,40.6,7332.0,275.0
"Carson County, Texas",205.0,42.2,2414.0,252.0
"Cass County, Indiana",4043.0,38.9,12781.0,240.0
